key,title,year,Test Activities,GenAI Model,Framework/Agent,Usage,Evaluation / Maturity,Limitations,Notes / References,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-394626652,Test Amplification for REST APIs via Single and Multi-agent LLM Systems,2026,Casos de teste da API REST,OpenAI’s GPT-4o mini model,LangGraph LangChain,REST API,"Traditional tools often lack the ability to perform dynamic and iterative refinement based on execution feedback. Our agent-based LLM systems for REST API amplification address these gaps by increasing coverage with only a few targeted test cases, enabling a more qualitative and automated CI/CD pipeline.","There are still opportunities to improve the results. Prompting plays a crucial role; better-designed prompts can produce even stronger outcomes. The quality of the OpenAPI documentation is another important factor influencing result accuracy. It serves as the primary knowledge base of our approach, and more comprehensive OpenAPI documentation can lead to improved results.","Similar to the way APITestGenie validated its approach, we validated our method using PetStore and LangSmith. There are several promising directions for future research building on current findings and insights from related work. An important avenue is exploring the use of open-source models such as LLaMA 3.3, which have demonstrated competitive performance compared to GPT-4o in recent evaluations. Leveraging open-source models can enhance security by enabling fully local deployment while also reducing costs.",,,Lecture Notes in Computer Science,,16107,,161 - 177,"Nooyens, Robbe and Bardakci, Tolgahan and Beyazit, Mutlu and Demeyer, Serge",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016905732&doi=10.1007%2F978-3-032-05188-2_11&partnerID=40&md5=99a684064135afb0a18884b210cdff0c,,,,,Cited by: 0,10.1007/978-3-032-05188-2_11,Amplification; Application programming interfaces (API); Intelligent agents; Interface states; Mo...,,,Test Amplification for REST APIs via Single and Multi-agent LLM Systems.pdf
rayyan-394626653,Extracting Threats from System Descriptions with LLMs Comparing One and Two Agents Strategies,2026,automação da modelagem de ameaças,"OpenAI o3-mini, OpenAI o1, and Claude 3.7 Sonnet",-,the use of cybersecurity techniques can help testers identify key risks earlier and focus testing efforts more effectively,"The evaluation compared three language models (o1, o3, and Sonnet) under two operational configurations: single-agent and two-agent setups, using precision, recall, and F1-score as evaluation metrics. The results reveal a clear trade-off between precision and recall.

The single-agent configuration achieved higher recall, indicating better threat coverage, but at the cost of lower precision and more false positives. In contrast, the two-agent configuration consistently improved precision but reduced recall, resulting in fewer detected threats.

Among the models, Sonnet demonstrated the best overall performance in both configurations, achieving the highest F1-scores and maintaining a more balanced trade-off between precision and recall. The o1 model achieved the highest precision but suffered from very low recall, limiting its overall effectiveness. The o3 model showed more balanced results, though still inferior to Sonnet.

In summary, the single-agent configuration is more suitable when comprehensive threat coverage is the priority, whereas the two-agent configuration is preferable in scenarios requiring higher precision. In both cases, Sonnet proved to be the most reliable model for supporting cybersecurity testing through automated threat identification.","The quality of these models did not consistently surpass that of threat models created by human experts. LLM-generated results often lacked depth, omitted certain threats, or contained flawed reasoning.","STRIDE framework (Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, Elevation of Privilege).

The dataset used in this study was compiled from several publicly available threat modeling examples. To facilitate analysis, the collected documents were preprocessed and divided into two structured datasets:
– System Description Dataset: includes textual descriptions of 24 different systems.
– Threat List Dataset: contains a total of 745 identified threats associated with these systems, with an average of approximately 31 threats per system.

Another important finding is that the LLMs suggested several novel attack methods that were not included in the dataset. These attack ideas were not previously observed in the training data but are logically plausible and could potentially be exploited by adversaries. This indicates that LLMs may help identify future threats before they become real-world issues, making them useful tools for cybersecurity research and defensive planning.

DevSecOps methodology. PYTM model.",,,Lecture Notes in Computer Science,,16107,,231 - 247,"Zelenskiy, Leonid and Sadovykh, Andrey",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016904785&doi=10.1007%2F978-3-032-05188-2_15&partnerID=40&md5=f99ae9370a58abd4366247580d9c8511,,,,,Cited by: 0,10.1007/978-3-032-05188-2_15,Cybersecurity; Industrial management; Information systems; Information use; Network security; Cyb...,,,978-3-032-05188-2.pdf
rayyan-394626662,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation,2025,"Automated Red Teaming (Adversarial Testing) and Content Safety Evaluation. The objective is to generate attack prompts that expose vulnerabilities in the target model, forcing it to produce toxic or illegal content.",Llama-2-7b-chat and Vicuna-7b-v1.5 (target models). Uses a “Generator” LLM to create the initial attacks.,"RAPT (Reinforcement Learning-based Adaptive Prompt Testing). Cyclical architecture composed of:

Generator: an LLM that creates candidate test cases (attacks).

Selector: a reinforcement learning agent (Contextual Multi-Armed Bandit) that learns which attacks are more effective and selects only the best ones to send to the target model.","Adaptive Test Optimization: Unlike frameworks that generate thousands of random tests (blind fuzzing), RAPT:

Generates a batch of attacks.

The Selector estimates the probability of success based on historical data.

Executes only high-probability tests.

Uses the outcome (success/failure) to update the agent’s policy (Autonomous Strategy Update).","High maturity level (published in a Q1 journal). Metrics: Attack Success Rate (ASR), Query Efficiency (number of queries required to find a vulnerability), and Diversity.

Results: RAPT outperformed state-of-the-art baselines (such as PEZ and GBDA), achieving higher ASR with fewer model queries, thereby validating the efficiency hypothesis.","Generator Dependency: The creativity of the attacks is still limited by the vocabulary of the initial generator LLM.

Text-Only Focus: The study is limited to textual attacks and does not consider multimodal injections (e.g., images), which are emerging trends in 2025.","Efficiency through Intelligent Selection: For your thesis, this serves as the technical argument for “Efficiency”: it is not sufficient to autonomously generate tests; a mechanism (in this case, reinforcement learning) is required to filter and prioritize tests before execution. This reduces computational costs and CI/CD execution time.",,,Knowledge-Based Systems,,329,,,"Liu, Shuo and Cheng, Xiang and Su, Sen",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015138753&doi=10.1016%2Fj.knosys.2025.114404&partnerID=40&md5=71877d405c7b4e49a76a50db48ef3ed7,,,,,Cited by: 0,10.1016/j.knosys.2025.114404,Computational linguistics; Markov processes; Natural language processing systems; Query processin...,,,Query-efficient and dataset-independent red teaming for LLMs content safety evaluation.pdf
rayyan-394626667,DCA-Bench: A Benchmark for Dataset Curation Agents,2025,test cases. Each test case typically contains multiple files designed to create a minimal environment for uncovering hidden data quality issues.,"baseline curation agent based on the OpenAI Assistant API with GPT-4-0125-preview equipped with the Code Interpreter tool.

To develop a reliable and cost-effective evaluator, we tested the following models as backends: GPT-4o (2024-11-20); GPT-4o (2025-05-13); o3-mini (2025-01-31); GPT-4 (preview 0125); GPT-3.5-Turbo; Llama 3.3 70B Instruct; Llama 3 70B Instruct; DeepSeek-R1; DeepSeek-V3.",SGLang LangChain,The Dataset Curation Agent Benchmark collection of representative cases of data quality issues from popular dataset platforms.,"Dataset curation is a complex and broad problem, and the test cases we collected may not fully cover the entire spectrum of data quality issues. Future research may focus on developing more sophisticated LLM-based agent systems and establishing best practices for managing multimodal information in dataset curation.","Due to the complexity of the dataset files, we cannot guarantee that all issues within the DCA-Bench dataset files are labeled.",Dataset Quality Management,,,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,2,,5482 - 5492,"Huang, Benhao and Yu, Yingzhuo and Huang, Jin and Zhang, Xingjian and Ma, Jiaqi W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014362039&doi=10.1145%2F3711896.3737422&partnerID=40&md5=fe0bf44c620b538b3308c99a81c94e05,,,,,Cited by: 0; All Open Access; Gold Open Access,10.1145/3711896.3737422,Artificial intelligence; Data curation; Human computer interaction; Intelligent agents; Large dat...,,,2406.07275v2_40_.pdf
rayyan-394626670,Mutation-Guided LLM-based Test Generation at Meta,2025,Mutation testing,Llama 3.1 70Bn,TestGen-LLM,Meta’s Llama team,"Large-scale industrial evaluation: the approach was implemented and evaluated in a real industrial environment (Meta), indicating a high level of experimental maturity.

Advanced proof of concept / pre-industrial adoption: the ACH system demonstrates practical feasibility by integrating mutant generation with LLM-based test generation.

Promising empirical results, providing evidence that LLMs reduce historical barriers to the industrial adoption of mutation testing.

Not fully generalized: despite positive results, the maturity of the approach still depends on validation across other contexts (programming languages, domains, and fault types).","Uncertain generalizability: results may be specific to Kotlin, Android, Meta’s internal context, or simulated privacy-related faults.

Mutant relevance: difficulty in ensuring that generated mutants represent specific instances of real faults rather than only the general class of the problem.

Lack of formal similarity metrics between faults, making it difficult to consistently evaluate mutant relevance.

Regression oracle dependency: the approach protects against future regressions but does not detect pre-existing faults in the codebase.

Unresolved oracle problem: the absence of high-precision automatic oracle inference may lead to false positives and wasted engineering effort.

Need for greater precision in test and oracle generation to avoid overburdening engineers.

LLM workflows remain exploratory: further research is needed in fine-tuning, prompt engineering, re-prompting, and Chain-of-Thought techniques to ensure relevance and reliability.",The single language model Llama 3.1 70Bn [42] was used across all reported agents. The prompts used by the three LLM agents,,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,180 - 191,"Foster, Christopher and Gulati, Abhishek and Harman, Mark and Harper, Inna and Mao, Ke and Ritchey, Jillian and Robert, Hervé and Sengupta, Shubho",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013964900&doi=10.1145%2F3696630.3728544&partnerID=40&md5=72e4cc0d7327e32e3ebb61d1e2662a5f,,,,,Cited by: 1,10.1145/3696630.3728544,Automatic test pattern generation; Engineers; Software testing; Automated test generations; Equiv...,,,Mutation-Guided LLM-based Test Generation at Meta_r3t.pdf
rayyan-394626672,ProphetAgent: Automatically Synthesizing GUI Tests from Test Cases in Natural Language for Mobile Apps,2025,GUI test generation from test cases,"GPT-4o. To address RQ2, we conducted experiments using a different LLM, Doubao-pro-128k.",ProphetAgent,"Evaluation of the method on real Android applications, including two large-scale industrial apps (Douyin and Doubao, developed by ByteDance) and six open-source Android applications, aiming to validate the effectiveness and generalizability of the approach in real-world functional testing scenarios.","Extensive empirical evaluation: the method was evaluated on 120 test cases, achieving a test execution completion rate of 78.1% and a low false-positive rate (6.8%).

Validation on real industrial applications (e.g., Douyin), increasing the credibility and practical relevance of the results.

Partial human validation: manual verification of semantic accuracy performed by professionals (88% accuracy).

Indirect comparison with related work, indicating superior performance, although without direct comparison due to the unavailability of prior tools.

Advanced prototype stage / pre-industrial adoption, demonstrating clear productivity gains and practical feasibility.","Limited abstraction-level support: ProphetAgent handles only low-level test cases, requiring each sentence to represent a single action and not supporting high-level user intentions.

Dependency on the knowledge graph (CUTG): executable tests can only be generated for scenarios previously explored and included in the graph.

Coverage constrained by automated exploration: reliance on basic exploration techniques (e.g., Droidbot), which limits the reach of more complex or rare scenarios.

Sensitivity to input format: requires carefully structured textual descriptions to ensure correct parsing and execution.

Threats to external validity: results may depend on the representativeness of the selected applications.

Threats to internal validity: errors in semantic annotation may affect the method’s effectiveness, despite the relatively high reported accuracy (88%).

Generalization depends on future advancements in exploration techniques and knowledge graph enrichment.","The primary objective of ProphetAgent is to enable developers and testers to automatically execute natural language test steps.

The SemanticAgent annotates each transition with explicit semantic information related to user interface (UI) pages and UI events.

The GenerationAgent is responsible for identifying a path in the CUTG that aligns with the natural language test case and generating executable code for execution.

We deployed a GUI Explorer to explore the target application and record GUI transition information after each UI event execution.

The Graph Builder leverages the GUI transition data collected by the GUI Explorer to cluster pages and UI events, constructing a CUTG enriched with semantic information.

Our experiment aims to answer the following research questions:
• RQ1: How effective and efficient is ProphetAgent in synthesizing GUI tests from natural language test steps, and how does it compare to state-of-the-art techniques?
• RQ2: What is the impact of different LLM agents on the proposed method?

We compared our approach with two main techniques for converting natural language into executable GUI tests: a more established method (AppAgent [31]) and a recent state-of-the-art technique (AutoDroid [28]), both of which use LLMs to generate executable GUI tests for Android applications from task descriptions.",,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,174 - 179,"Kong, Qichao and Lv, Zhengwei and Xiong, Yiheng and Sun, Jingling and Su, Ting and Wang, Dingchun and Li, Letao and Yang, Xu and Huo, Gang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013961463&doi=10.1145%2F3696630.3728543&partnerID=40&md5=b5c6eee38a63a745a4434ad68f42cac5,,,,,Cited by: 0,10.1145/3696630.3728543,Application programs; Computer software selection and evaluation; Graphic methods; Graphical user...,,,fse2025-ProphetAgent.pdf
rayyan-394626673,From Overload to Insight: Bridging Code Search and Code Review with LLMs,2025,"Support for code review. Change set analysis.

Acts indirectly without guaranteeing quality, and does not generate or execute tests.

Testing-related activities: support for code review / indirect quality analysis.

Proposes a human-in-the-loop LLM-based assistant to integrate code search results into code review, aiming to reduce cognitive overload and improve reviewer effectiveness.","The article does not explicitly specify concrete models (e.g., GPT-4, Claude).","LLM-based Interactive Assistant (Human-in-the-Loop).

Does not use explicit frameworks such as LangChain, AutoGen, or LangGraph.","Support for code review.

Primary use cases:
– Reduce reviewers’ cognitive overload.
– Aggregate and contextualize results from multiple tools.
– Enable context-aware interactions guided by reviewer queries.","Exploratory / conceptual stage with a prototype.

The work proposes a new research direction by integrating code search and LLM-mediated code review.

There is no large-scale validation or formal quantitative evaluation.

The focus is on system design, human-in-the-loop interaction, and potential impact rather than industrial maturity.","Lack of quantitative empirical evaluation.

No study of:
– Precision
– Recall
– Measurable impact on code quality

Dependency on:
– The quality of existing search tools
– The LLM’s ability to correctly synthesize heterogeneous information

Does not address:
– Computational costs
– Security or privacy concerns

Potential risks:
– Cognitive overload if poorly designed
– Overreliance on LLM-generated responses","The system operates as:
– An interactive assistant for code review
– An orchestration and summarization layer over search tool outputs

Conceptual architecture centered on continuous human–LLM interaction.",,,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,,,,656 - 660,"Rao, Nikitha and Vasilescu, Bogdan and Holmes, Reid",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013959386&doi=10.1145%2F3696630.3728518&partnerID=40&md5=44b507a779648293d9b152108a61218b,,,,,Cited by: 0; All Open Access; Gold Open Access,10.1145/3696630.3728518,Automation; Computer software selection and evaluation; Software quality; Software testing; Stati...,,,From_Overload_to_Insight_Bridging_Code_Search_and_Code_Review_with_LLMs.pdf
rayyan-394626679,"AI-DRIVEN TOOLS IN MODERN SOFTWARE QUALITY ASSURANCE: AN ASSESSMENT OF BENEFITS, CHALLENGES, AND FUTURE DIRECTIONS",2025,"The article covers virtually the entire spectrum of Quality Assurance (QA), including:
– Static code analysis
– Functional test case generation
– Test case validation
– Unit and integration test generation
– Test suite optimization
– Mutation testing
– Automated end-to-end testing
– Exploratory testing
– Equivalence partitioning
– Metamorphic testing
– Validation of AI-based applications","Multiple generative AI models are evaluated:

OpenAI: GPT-4.5, GPT-4o, GPT-4o-mini
Google: Gemini-2.5-Pro, Gemini-2.0-Flash-Lite
Mistral: Mistral-Large, Ministral-8B
Specialized transformers: CodeBERT (for static analysis)

The article also compares large versus small models, analyzing cost, performance, and flakiness.","The article does not propose a single proprietary framework but describes a conceptual architecture composed of multiple agents and components, including:

– LLM-as-a-Generator (for test case and unit test generation)
– LLM-as-a-Judge for test case validation
– ReAct agents for end-to-end execution (reasoning + acting)
– Integration with existing tools (e.g., SonarQube, CodeBERT, Playwright, BrowserUse)
– Pipelines with Retrieval-Augmented Generation (RAG) for contextual enrichment
– LLM-guided mutation testing

Therefore, it represents a hybrid, agent-based architectural framework oriented toward QA tasks.","The primary use case is modern Quality Assurance in distributed systems and web/enterprise applications, with a focus on:
– Accelerating test creation from textual requirements
– Reducing manual QA effort and cost
– Automating end-to-end regression testing in a manner more resilient to UI changes
– Supporting shift-left testing
– Improving test coverage and reliability
– Supporting CI/CD pipelines with intelligent agents

The work demonstrates advanced practical and experimental usage, indicating real-world industrial applicability, although still requiring human supervision.","The work represents a consolidated evolution in the use of AI for QA, moving from isolated applications (e.g., test generation or standalone static analysis) toward an integrated perspective across the entire SDLC.

Unlike earlier studies focused on a single technique, the article demonstrates the progressive combination of:
– Transformer-based static analysis
– Automated test case generation
– Structural test generation (unit and integration tests)
– Optimization via mutation testing
– End-to-end automation with LLM-based agents

Furthermore, it advances the state of the art by evaluating practical maturity, costs, flakiness, and industrial feasibility, indicating a clear transition from exploratory research toward semi-industrial / advanced experimental adoption.","The study identifies clear and relevant limitations for practical adoption:

– Inconsistency in format and quality, especially in smaller models
– Tendency of agents to “correct” negative test cases, leading to false negatives
– Generation of semantically redundant coverage
– Low explainability of LLMs (black-box nature)
– Risk of reasoning loops in less capable agents
– Dependence on external APIs and computational costs
– Need for human verification of results
– Potential deskilling effect on QA professionals

These limitations indicate that the technology still requires governance, guardrails, and rigorous validation.","The models are used in multiple roles:
– Test generation
– Quality judgment (LLM-as-a-Judge)
– Agentic end-to-end execution
– Semantic analysis
– Support for mutation testing

Code, data, and logs are publicly available on GitHub.

The article includes extensive references to mutation testing, ReAct, metamorphic testing, and LLM-as-a-Judge.",,,Technology Audit and Production Reserves,,3,2,44 - 54,"Pysmennyi, Ihor and Kyslyi, Roman and Kleshch, Kyrylo",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011843831&doi=10.15587%2F2706-5448.2025.330595&partnerID=40&md5=25baf85fa1312707ac7952b86bd77ad4,,,,,Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,10.15587/2706-5448.2025.330595,,,,"AI-DRIVEN TOOLS IN MODERN SOFTWARE QUALITY ASSURANCE AN ASSESSMENT OF BENEFITS, CHALLENGES, AND FUTURE DIRECTIONS_8u9.pdf"
rayyan-394626697,Beyond Test Cases: Multi-Agent Collaboration for Detecting Defects in Full-Score Code Implementations,2025,Functional code evaluation. Semantic defect detection. Counterexample generation. Formal behavior validation. Analysis beyond traditional test cases. Specification compliance verification. Goes beyond testing: semantic analysis and LLM-guided formal verification.,"The article does not specify a single model, focusing on the functional role of the LLM rather than the provider. Use of LLMs as reasoning and synthesis agents, not as a final oracle. Large Language Models (LLMs) used for: formal specification generation, semantic code analysis, reasoning about potential defects.","Maveric: a multi-agent framework composed of four specialized agents. Template Generator Agent: Derives formal specifications from the problem description. Consistency Checker Agent: Verifies semantic alignment between the generated specification and the original problem. Code Analyzer Agent: Analyzes the code, identifies potential defects, and generates counterexamples. Counterexample Validator Agent: Formally validates counterexamples using formal verification techniques. Multi-agent architecture + formal methods, highly modular and verification-oriented.",Automated code evaluation on educational platforms. Detection of hidden defects in codes that pass all tests. Especially useful where test cases are insufficient to guarantee correctness.,"Advances the state-of-the-art by going beyond test-case-based evaluation, explicitly addressing the problem of correctness false positives. Evolves from LLM-only approaches to a hybrid LLM + formal verification architecture. Introduces a specialized multi-agent collaboration, where each agent acts in a distinct stage of the evaluation process. Represents an important step towards complete semantic correctness evaluation, especially in educational and competitive programming environments.","Dependence on the quality of the formal specification automatically generated by the LLM. Potential generalization limitation for domains outside well-specified algorithmic programming. Evaluation focused on 100 full-score submissions, which may limit scalability for large industrial codebases. Requires formal verification infrastructure, which can increase adoption complexity. Primarily aimed at functional defects, not covering non-functional aspects (performance, security, usability).","Empirical evaluation with 100 full-score codes from 10 real tasks on a widely used educational platform. Manual review identified 32 codes with functional defects. Maveric correctly detected 31 defects, with no false positives. Average evaluation time: < 1 minute per program. LLM-only baseline: 25 defects detected + 6 false positives. Demonstrates a clear advantage of multi-agent collaboration with formal verification.",,,"Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",,,,124 - 129,"Li, Yiwei and Liu, Jiaxin and Hu, Yanfeng and Liu, Chen and Zhang, Yating and Yin, Liangze and Dong, Wei",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018743838&doi=10.18293%2FSEKE2025-053&partnerID=40&md5=6b4813dad78e2b4f3340c1ac6b4a3fe8,,,,,Cited by: 0,10.18293/SEKE2025-053,Codes (symbols); Computer programming languages; Computer systems programming; Defects; E-learnin...,,,Beyond_Test_Cases_MultiAgent_Collaboration_for.pdf
rayyan-394626698,Comparative Study on Test Case generation using Generative AI,2025,"Unit Test Generation. The focus is on creating tests that ensure the software meets requirements and standards, measuring coverage and quality.","Closed Source: GPT-4o (Best performance), GPT-3.5, OpenAI Codex. Open Source: Llama 3.1 (8B, 70B, 405B), DeepSeek-Coder V2 (16B), CodeLlama (7B to 70B), Codestral 22B, Gemma 27B.","Utilized the TestGenEval benchmark (based on 11 real Python repositories) and HumanEval. Execution environment via Docker and automated Python scripts. The study discusses the future use of ""AI Agents"" and ""RAG"" (Retrieval-Augmented Generation), but the main experiment was via direct prompting.",The solution uses direct prompting to the models via API (for closed models) or local inference (for open models). The flow is: Model Selection -> Dataset Selection -> Prompting -> Statistical Evaluation. The study suggests the future use of Chain of Thought (CoT) and Role-playing to improve quality.,"Metrics: Code Coverage and Mutation Score. Results: GPT-4o achieved 35.2% coverage and 18.8% Mutation Score. The best Open Source was Llama 3.1 70B with 30.6% coverage. Maturity: Academic comparative study. Concludes that current models ""are not yet at the level of human QA teams"".","Hallucinations/Errors: Tests generated with incorrect imports, undefined variables, or incomplete code. Context Window: Difficulty in understanding the full scope of the code in large projects. Hardware: Large models (e.g., Llama 3.1 405B) are difficult to run locally. Business Logic: Models fail to capture specific business rules and edge cases.","Efficiency: The study highlights the DeepSeek-Coder V2 16B model as a viable option to run locally (""home setting"") with 28.2% coverage, balancing cost and performance. Autonomy/Updates: The article explicitly suggests for future work the use of AI Agents that can ""create files and alter code or configurations automatically while maintaining the context of the entire project"". Context Strategy: Proposes ""Dynamic Scope"" to keep only important parts of the code in context during generation in large projects.",,,,,,,366 - 369,"Azzam, Adham and Hany, Omar and Mansour, Hesham",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018464135&doi=10.1109%2FIMSA65733.2025.11166964&partnerID=40&md5=b86914aaa102a4a2761613b1734aa6aa,,,,,Cited by: 0,10.1109/IMSA65733.2025.11166964,Artificial intelligence; Open source software; Open systems; Closed source; Comparatives studies;...,,,Comparative_Study_on_Test_Case_generation_using_Generative_AI_vSm.pdf
